1NO0000001	-----Case# 45602-----
1NO0000287	I was scavenging some of the nearby buildings for junk to sell and came across a working radio. No sooner did I turn it on than I heard the familiar patriotic anthems they used to play whenever Richardson would give a speech. But this was different. Who the hell is President Eden? When did that happen? Are they on this coast too? Most importantly, will they come looking for me?
1NO0000288	I hope this journey wasn't a huge mistake.
1NO0000289	Dr. Braun,
1NO0000290	Here is the revised code for the military training program you've expressed interest in. I'm not sure exactly what you want with it, and I again stress that this program was never designed to be run with civilian equipment.
1NO0000291	Frankly, I don't expect any system you have access to can even run it.
1NO0000292	But if you can run this program with the failsafes off, as requested... your real-world test subjects WILL die if killed in the simulation.
1NO0000293	It goes without saying that, officially, I denied your request.
1NO0000294	General Constantine Chase
1NO0000295	-----
1NO0000296	US MILITARY TRAINING PROGRAM 923-B: CHINESE INVASION
1NO0000297	Purpose: Simulate a Communist Incursion on US Soil
1NO0000298	DOCUMENTATION CULLED: NEW PROTOCOLS ENACTED
1NO0000299	- DISABLE SAFETY PROTOCOLS 1-6
1NO0000300	- OVERRIDE TARGET ACQUISITION
1NO0000301	WARNING: TEST SUBJECTS WILL EXPERIENCE REAL-WORLD TERMINATION. PROCEED WITH EXTREME CAUTION!
1NO0000302	6.11.12: New Program "Tranquility Lane" loaded, Authorization S. Braun
1NO0000303	6.10.12: All Previous Versions Wiped, Authorization S. Braun
1NO0000304	Version 3.2.0005
1NO0000305	*Exceptions granted for Pod 0001
1NO0000306	*Manual Override for Pods disabled. Remote access allowed, user S. Braun has privileges
1NO0000307	*Updated neural inputs to override memory access for individual users
1NO0000308	*Revised code for Vault Maintenance Robots; Authentication from S. Braun required before further updates allowed
1NO0000309	*User UNKNOWN Granted Access
1NO0000310	*User UNKNOWN Altered by S. Braun
1NO0000311	At a workbench, combine:
1NO0000315	10 Bottlecaps
1NO0000316	This schematic now makes two mines!
1NO0000317	A cheap and easy do-it-yourself explosive, the Bottlecap Mine Packs a surprising kick, so stand back!
1NO0000323	This schematic now makes three mines!
1NO0000330	Now improved 10%!
1NO0000331	By adding Radscorpion poison to the darts that can be found in most ruined houses and stores, the Dart Gun makes for a stealthy and surprisingly lethal little toy.
1NO0000337	Now improved 20%!
1NO0000345	With this weapon, your "unarmed" attacks will have the ferocity and armor-shredding power of the Deathclaws. Assuming you can survive long enough to take one of their hands, of course.
1NO0000354	1 bottle Nuka-Cola Quantum
1NO0000358	This schematic now makes two grenades!
1NO0000359	A potent cocktail of carbonation and detonation, the Nuka Grenade makes plasma look like a bubble bath.
1NO0000365	This schematic now makes three grenades!
1NO0000373	Firing the railway spikes that can be found in industrial sites or train stations, the Railway Rifle can stop targets in their tracks and pin their limbs to the wall.
1NO0000387	The Rock-It Launcher isn't the most accurate big gun, but as long as you've got junk lying around, you've got ammo. Just load the hopper with garbage and turn that junk into a deadly weapon.
1NO0000398	Lawnmower blade
1NO0000401	When ignited and used properly, the Shishkebab provides two important functions in a melee: slashing and burning.
1NO0000414	Now improved 30%!
1NO0000416	The password to unlock the outer security door from the maintenance tunnels to the main platform is "Nycteris".
1NO0000417	I was driving on the highway east of Old Olney near the gas station, and suddenly a deer ran out in front of my rig. I swerved to avoid hitting it, but my brakes locked up and I ended up jack-knifed against the guardrail. I was in the process of delivering a very important shipment to the Old Olney Grocery, so I have called and requested an immediate pickup in front of Old Olney's Firehouse. I will wait there until the tow truck arrives.
1NO0000418	There has been some breakage, but the special shipment is still intact. I am not injured, but the truck is likely a total loss. This is my first incident of this nature with the company, I hope it will not reflect poorly on my future evaluations.
1NO0000419	Carl Wallace
1NO0000420	Nuka-Cola Corporation Driver 09899
1NO0000421	Department SH-03
1NO0000422	Bad news.  Rangers haven't seen Cheryl and got troubles of their own.  Muties been snatching people left and right.  Reilly's men are going to keep an eye out round here.   They suggested we head to the western ruins, across the river and search there, so I guess that's what we'll do.  Damn it, sis, why didn't you just wait for us?
1NO0000423	Has to be a month gone since we was at Citadel.  Tracking mutants in the city is no easy job.  Helps to have mentats keep everyone focused, but we still have to be careful.  These green bastards seem like they're on the move.  You never hear em talk about it, but they're looking for something.  And people.  Anyone they can get their hands on.
1NO0000424	Tracking Muties through the city isn't the hard part.  They're good with metal, always ripping up junkers and building crap out of the bits.  Just follow their freak sculpture shows.  Hard part is staying hidden.  Emmet took a bad cut on the leg from one of the spikes., took two shirts to stop the bleeding.  I hope these freaks can't smell blood.  We're headed towards the Citadel, maybe they'll help us patch him up.
1NO0000425	Relief to be outside of the city for a day.  We'll use the bridge and cross over to check beyond the ruins on the west side.  We can't hold out down here much longer.  I can't just give up on Cheryl, but I might not end up having a choice.  Emmet's in bad shape.  We'll wait to cross the bridge until tomorrow.
1NO0000426	RIP, Emmet.  Poor kid left Canterbury so fresh I didn't want him along, but he really came into his own these past few weeks.  He died in the night.  No point bothering with those pricks at the Citadel now.  We head into the city tomorrow.
1NO0000427	Found something.  Muties have a bunch of folks trussed up in a park nearby.  Going to hole up and see what happens.  Too risky to check for Cheryl until we know more.
1NO0000428	Kaya crept down and checked tonight.  Cheryl's not there and most of the people are dead, or close to it.  Still, going to keep an eye on them from here a little longer.
1NO0000429	Bastards are cleverer than they look.  They stake people up, attracts attention.  Saw a couple mercs get snatched investigating.  One didn't put up much fight, they took him alive.  May be hope to find Cheryl yet.
1NO0000430	Stakes aren't just to attract people.  Big 'ol mother came by today, yanked a stiff from one of those spikes and gnawed every scrap of meat off the bones.  Looks like they were waiting for the biggun to pack up.  They're on the move.  I've got a feeling they'll take these folks the same place they must have taken sis.
1NO0000431	Close call today, damn fool brotherhood scout nearly exposed us.  Muties got him.  Poor kid never had a chance.  Finally clear of the city.  Kaya refused to go any further, left for Canterbury.  The mutants are headed west, and I still aim to find where they're taking these people.  Going to be harder to stay concealed out there in the open, but at least I don't have to worry about ghouls crawling up my ass all night.
