///Project Nevada	
PJN0000001	Three Shooter
PJN0000469	Slows time down by half when activated while consuming Action Points.
PJN0000470	Dynamic Crosshair
PJN0000471	Makes the crosshair expand and contract dynamically based on the player's current gun spread.
PJN0000472	High-tech gear enables enhanced vision modes like Night Vision, Heat Vision and EM Vision, toggled by hotkey
PJN0000473	Grenades, mines, thrown weapons and placed explosives can be instantly thrown/placed with a hotkey.
PJN0000474	Sprint
PJN0000475	Increases running speed when activated while consuming Action Points. Can be used to knock back opponents.
PJN0000476	Chargeable Weapons
PJN0000477	Selected energy weapons can be charged up to enable powerful special attacks.
PJN0000478	Enhanced Stealth Field
PJN0000479	The stealth field of armors or Stealth Boys can be toggled on/off by hotkey. Decreasing field stability is displayed in the HUD.
PJN0000480	Enhanced Zoom
PJN0000481	All scoped weapons get multiple zooming steps based on weapon range.
PJN0000482	Slower Backpedaling
PJN0000483	When moving backwards, the player's speed is reduced based on his/her agility.
PJN0000484	Immersion
PJN0000485	Health Visuals
PJN0000486	Player's vision gets weak and blurry with decreasing health.
PJN0000487	Visor Overlays
PJN0000488	Helmets and headgear get first-person visor overlays and vision effects.
PJN0000489	Immersive Primary Needs
PJN0000490	Periodic sound effects notify of increasing hunger, thirst or sleep depriviation.
PJN0000491	Miscellaneous
PJN0000492	Explosive Entry
PJN0000493	Explosions can be used to break open locks.
PJN0000494	Logo Animation
PJN0000495	OMG the icons are moving! Disable once it gets old.
PJN0000496	Inventory Sorter
PJN0000497	Prefixes many items based on their category so they appear sorted in containers and inventories.
PJN0000498	Grenade Throw
PJN0000499	Grenade Select
PJN0000500	Default: [%]
PJN0000501	WheelUp
PJN0000502	WheelDown
PJN0000503	Run/Walk
PJN0000504	Quick-Select
PJN0000505	Grenades
PJN0000506	Mines
PJN0000507	Thrown Weapons
PJN0000508	Triggered Explosives
PJN0000509	Not bound
PJN0000510	Advanced
PJN0000511	Bullet Time Indicator
PJN0000512	Display a small icon in the HUD whenenver Bullet Time is active.
PJN0000513	Brighter Enhanced Vision
PJN0000514	Brighter Night Vision etc. for use with mods that add Darker Nights.
PJN0000515	Visor Borders
PJN0000516	Overlay images obscure the field of vision when wearing helmets.
PJN0000517	Toggled Zoom, scoped
PJN0000518	Use zoom button to toggle scope view on/off.
PJN0000519	Recoil Spread
PJN0000520	Firing increases gun spread temporarily (aka recoil).
PJN0000521	Weapon Charge Indicator
PJN0000522	Use a special crosshair for chargeable weapons.
PJN0000523	Sets how fast you gain XP, how many skill points you may asssign and how often you may select a perk on level-up.
PJN0000524	Experience Gain[%]
PJN0000525	Perk:
PJN0000526	Skill Point Mod.:
PJN0000527	Skill Point Modifier
PJN0000528	Max. Level.:
PJN0000529	Maximum Level
PJN0000530	Sets how your total action points are calculated. (Action Points = Base Value + AGI * Agility Multiplier)
PJN0000531	Base Value[%]
PJN0000532	Agility Mult.:
PJN0000533	Agility Multiplier
PJN0000534	Sets how the amount of weight you can carry is calculated. (Carry Weight = Base Value + STR * Strength Multiplier)
PJN0000535	Strength Mult.:
PJN0000536	Strength Multiplier
PJN0000537	Throwing Range
PJN0000538	Enables a dynamic throwing range multiplier for grenades etc. (0.5 + 0.1*STR)
PJN0000539	Strength-based Range:
PJN0000540	Vanilla
PJN0000541	Harder
PJN0000542	Experimental
PJN0000543	Default
PJN0000544	Damage + Combat
PJN0000545	Sets how maximum health is calculated. (Hitpoints = Base HP + END * Endurance Multiplier + LVL * Level Multiplier)
PJN0000546	Player Endurance Mult.:
PJN0000547	Player Level Mult.:
PJN0000548	NPC Endurance Mult.:
PJN0000549	NPC Level Mult.:
PJN0000550	Endurance Multiplier
PJN0000551	Level Multiplier
PJN0000552	Sets the minimum damage inflicted after damage reduction, and if helmets are required to allow DT against headshots.
PJN0000553	Minimum Damage[%]
PJN0000554	Head DT Helmet Req.:
PJN0000555	Sets the influence weapon skill has on damage, and the amount of damage that is transfered as limb damage.
PJN0000556	Skill Damage Influence:
PJN0000557	Skill Damage
PJN0000558	Limb Damage Transfer:
PJN0000559	Limb Damage
PJN0000560	Environmental Hazards
PJN0000561	Sets how fast radiation is gained in contaminated areas, and at which falling height actors start to take damage.
PJN0000562	Radiation Gain:
PJN0000563	Radiation Rate
PJN0000564	Safe Falling Height:
PJN0000565	Falling Height
PJN0000566	Explosions
PJN0000567	Enables explosion knockdowns versus enemies and an explosionen ringing sound effect for the player.
PJN0000568	Enemy Knockdowns:
PJN0000569	Ringing Sound Effect:
PJN0000570	Auto Aim
PJN0000571	Sets distance, correction angle and lock-on area for first-person auto aim.
PJN0000572	Maximum Angle[%]
PJN0000573	Maximum Distance[%]
PJN0000574	Screen Area[%]
PJN0000575	Weapon Condition
PJN0000576	Sets the maximum damage penalty for low weapon condition.
PJN0000577	Max. Damage Penalty.:
PJN0000578	Condition Damage Penalty
PJN0000579	Stealth + Movement
PJN0000580	Movement Speed
PJN0000581	Sets various movement speed multipliers and penalties.
PJN0000582	Running Mult.:
PJN0000583	Running Multiplier
PJN0000584	Holstered Mult.:
PJN0000585	Holstered Multiplier
PJN0000586	Crippled Leg Speed[%]
PJN0000587	Crippled Legs Speed[%]
PJN0000588	Enables different sneak settings to increase difficulty, and a scripted detection AI for better long range spotting.
PJN0000589	Sneak Profile[%]
PJN0000590	Scripted Detection AI:
PJN0000591	Loot Rarity
PJN0000592	Sets the spawn chances for food items.
PJN0000593	Chance, Very Common:
PJN0000594	Chance, Common:
PJN0000595	Chance, Rare:
PJN0000596	Chance, Very Rare:
PJN0000597	Spawn Chance
PJN0000598	Sets the spawn chance for ammo.
PJN0000599	Primary Needs
PJN0000600	Sets the timescale and various options related to Hunger, Thirst and Sleep.
PJN0000601	Food Healing:
PJN0000602	Survival-based Rates:
PJN0000603	Timescale[%]
PJN0000604	Hunger Inc.:
PJN0000605	Thirst Inc.:
PJN0000606	Sleep Inc.:
PJN0000607	[%]per day
PJN0000608	Sets if Karma Messages and the Sneak Indicator should be removed from the HUD.
PJN0000609	Karma Messages:
PJN0000610	Sneak Indicator:
PJN0000611	Gore
PJN0000612	Sets the likeliness of gory effects.
PJN0000613	Dismember Chance:
PJN0000614	Explode Chance:
PJN0000615	Chance
PJN0000616	Enables an alternative repair system that uses dynamic repair lists and requires additional tools for each repair.
PJN0000617	Alt. Repair System:
PJN0000618	Death Physics
PJN0000619	Sets the force that's applied for ragdoll physics.
PJN0000620	Force Mult.:
PJN0000621	Force Multiplier
PJN0000622	Every
PJN0000623	Levels
PJN0000624	[%]Each Level
PJN0000625	Levels per Perk
///YUP	
YUP0000001	Yep, for years now. Guess I should be calling it Casa Marco or something, but I haven't changed the signs.
YUP0000002	Welcome to Casa Madrid - cheapest, cleanest whores in all New Vegas. If you want to know the rates for poon, talk to the whores.
YUP0000003	The co-op is comprised of Westside locals and run by Clayton Etienne. They produce all of their own food and share the profits of the co-op.
YUP0000004	I'm called Sweetie because I'm the sweetest piece you'll ever find anywhere outside of the Strip.
YUP0000005	Now it's the Wrights and Van Graffs. Seems like things never got better. Anyway, that's all behind me now.
YUP0000006	Dermot knows how to work salvage better than any man I ever met. Doesn't go asking questions all day, neither.
YUP0000007	Worse, if Keene and the Nightkin tear up the Mojave hunting for Stealth Boys, people are gonna get killed
YUP0000008	Just doing what I'm paid to do - harass the muties until they leave or attack us. If they leave, we'll let 'em go. If they attack, we wipe them out.
YUP0000009	Your concerns are perfectly understandable, but I assure you, they're entirely misplaced. We would never use technology that wasn't fully tested.
YUP0000010	If you've been around the Kings, you may have met one of them named Pacer. He's always stomping around trying to show off his authority.
YUP0000011	Traders have been griping for a while now about I-15 being too dangerous to travel. I'd steer clear of it unless you're armed to the teeth.
YUP0000012	As the inhabitants have now proven themselves hostile, no more respect will be accorded them, making their equipment fair game.
YUP0000013	He was never one to stay tied down to a spot, though. Gets that from his mother.
YUP0000014	And when those scorpions came out! It was just like the sims! All I had to do was line them up and then squeeze the trigger.
YUP0000015	It's put us in a rather delicate position, you see, his coming here. Not that we aren't grateful for his generous offer.
YUP0000016	And if the Gourmand served staples, it would no longer draw the caliber of people it deserves. It would be a diner or... a family restaurant.
YUP0000017	All right, but make it snappy, kid, this isn't exactly a lucrative career enterprise here.
YUP0000018	As one of our captains, Cachino was kind of a project manager. He made sure people had what they needed to get their jobs done.
YUP0000019	That book can get me killed if the wrong people see it. Let's talk, what do you want? What can I do for you?
YUP0000020	Of course, no one else  is allowed inside the Lucky 38, so no one knows what's going on. Well, except for you.
YUP0000021	Here, take this packet sniffer. It'll allow us to intercept data on Mr. House's network.
YUP0000022	Papa can be a stubborn man, but he's not a tyrant. He listens to his tribe, and to four voices in particular: me, Jack, Diane, and Melissa.
YUP0000023	Personally, I think they're kind of creepy, but Papa likes the fact they get all hopped up on Psycho and harass the NCR patrols.
YUP0000024	The Legate is not a man to be crossed, especially if you're a woman. That's all I'll talk about it.
YUP0000025	Dam. Resis.
YUP0000026	Pois. Resis.
YUP0000027	Rad. Resis.
YUP0000028	Speed
YUP0000029	Rebreath.
YUP0000030	Unarm. Dam.
YUP0000031	Elec. Resis.
YUP0000032	Cold Resis.
YUP0000033	Ener. Resis.
YUP0000034	EMP Resis.
YUP0000035	9mm
YUP0000036	.308 JSP
YUP0000037	12ga Bag
YUP0000038	.50MG Inc.
YUP0000039	MF Breeder
YUP0000040	40mmG
YUP0000041	5mm JNK
YUP0000042	12.7mm JNK
YUP0000043	12.7mm JHP
YUP0000044	40mmG, Pla.
YUP0000045	40mmG, Pul.
YUP0000046	12ga 4/0B
YUP0000047	20ga 3/0B
YUP0000048	12ga PS
YUP0000049	If you see a shield next to your health HUD, it means that your Damage Threshold is absorbing an enemy weapon's damage. A broken shield means they have completely negated your Damage Threshold.
YUP0000050	Elijah obviously intended this to go to Veronica, but you earned it, right?[CRLF][CRLF]You've learned Elijah's secret Melee Weapon technique and your Critical Hits now do 50% more damage.
YUP0000051	Kill Feral Ghouls with Maria, Gehenna, A Light Shining in Darkness, and Holy Frag Grenades.
YUP0000052	You've faced torture at the hands of the Marked Men... now it's payback time. (+10% Damage Threshold and +10% Damage against the Marked Men)
YUP0000053	While Lily is a companion, the duration of Stealth Boys is increased by 100% and all Sneak Attack Critical Hits do an additional 10% damage.
YUP0000054	With the Plasma Spaz perk, all AP costs for plasma weapons (including grenades) are reduced by 20%.
YUP0000055	You're laser-crazy and it shows! Minor bonus to critically hit with all Energy Weapons.
YUP0000056	Damage enemies with one-handed Energy Weapons.
YUP0000057	Inflict damage with one-handed Melee Weapons.
YUP0000058	I'm happy you cleared that up for me, but we've got another situation to worry about. There's a merchant hanging around near the prison.
