MOD0000001	Welcome..
TTW0000409	Yeah, we all follow - except me. Haha! Motherfuckers. I saw them coming before everyone else. First watch and I got the fuck out of there. Slipped out before anyone even knew they were coming - saw my chance and I took it.
TTW0000410	It's a goddamn shame, is what it is. A waste of fucking muscle. Way to go, Joey.
TTW0000411	I watched them rip open your guts and spill your insides onto the pavement - what a smell that would have been. Fucking ripe. Nasty.
TTW0000412	The survivor population continues to become more agitated. A group of three men were caught trying to sneak inside of the perimeter last night. They were arrested and escorted away without further incident, except for waking up the rest of the camp. I think we will see them again.
TTW0000413	We have to keep order. Just hold out until we can make contact with other units. Radiation sickness takes time. A woman was complaining of incessant itching all over her body. Her shirt had melted into the skin of her back. It was impossible to remove. There are so many bodies. We have to burn them to prevent disease from spreading.
TTW0000414	We have not been able to make contact with any other units in this area.
TTW0000415	The survivors have organized themselves and elected a leader. We negotiate with him now to distribute medicine and food. He understands that our supplies are nearly diminished. We all face dehydration and starvation. The first stages of radiation poisoning are showing now. Some are showing acute symptoms while others seem completely unaffected.
TTW0000416	Most of the survivors had been inside. They had been lucky enough to be in buildings that didn't collapse in rooms without windows or basements that shielded against the firestorm. The air is sucked out of your lungs. The fires burn so hot, consuming so much oxygen that people are pulled into them with the rushing wind. Parts of the city are still burning, far off in the distance.
TTW0000417	Funny - it's completely silent.
TTW0000418	Rumors started spreading that we were killing the sick and the old to save food for ourselves. The truth is we don't have any. Food - we ran out three days ago and just haven't told them, for fear this would happen. We have lost control.
TTW0000419	They marched on us before nightfall and demanded to be let beyond the perimeter. Hunger is a strong motivator. I heard the shot, and then we returned fire. Corporal Bradley was killed defending his post. One of them had found a pistol.
TTW0000420	We killed two men and one woman. The rest were dispersed with tear-gas. It was the same man that had been caught sneaking into the camp before. He had lost all of his hair.
TTW0000421	We are waiting now for them to come back. There is a national guard depot to the North. It may not be there anymore. We will try and make for this position in better hopes of making contact with other units.
TTW0000422	How will they greet us? How will we greet them?
TTW0000423	The toilet in 5th stall in the men's room on concourse 4 is STILL backed up and flooding the floor. I've gotten 5 complaints about it today! Somebody needs to get up here and fix this ASAP!
TTW0000424	I've got a light out in one of my fixtures. Can someone please come replace it for me?!
TTW0000425	Please disregard that previous message, for some reason it sent twice. Sorry!
TTW0000426	I don't see how you can keep forgetting the passwords to your own things. For the love of god just write it down somewhere! The password to the reactor is: R@di4ti0n
TTW0000427	IT Supervisor
TTW0000428	Mark Malowitz
TTW0000429	Hey Mary, just wanted to let you know that my son will be coming to your daughter's birthday party on the 23rd.
TTW0000430	Chirst, Jerry! How many times have I told you NOT to turn on the security systems without letting people know?! That turret scared the fucking shit out of me. I swear if you do it again I'm taking this to HR.
TTW0000431	A notice to all employees. We will be running a drill on Sunday, October 24 regarding security systems and fast response. All personnel on normal shifts should be aware that this is a drill!
TTW0000432	Head  of Security
TTW0000433	Perry Neumann
TTW0000434	Some senators just burst into my office here and said that the bombs have started to fall! They've demanded that I take them to shelter, so I'm taking them down into the fallout shelter on the emergency reactor sublevel for safety. If anyone finds this, come get us when this is all over!
TTW0000435	That's great Tom, she'll be happy to hear that.
TTW0000436	My husband is out of town next weekend. Can't wait to see you! XOXO
TTW0000437	The auto-start on the emergency reactor STILL doesn't work. This needs to be fixed ASAP! If the power goes out and that reactor doesn't kick on the station will go into security lockdown, and we do NOT want that to happen!
TTW0000438	Restore power to the station.
TTW0000439	Turn the breakers back on.
TTW0000440	1/4 Breakers Enabled.
TTW0000441	2/4 Breakers Enabled.
TTW0000442	3/4 Breakers Enabled.
TTW0000443	4/4 Breakers Enabled.
TTW0000444	Turn the reactor on.
TTW0000445	Go view the train schedule.
TTW0000446	Reprime the reactor.
TTW0000447	(Optional) Obtain reactor primer.
TTW0000448	Find a entry to a trainstation
TTW0000449	Find the mapmarker
TTW0000450	Restore the Power
TTW0000451	Disable DC Wasteland
TTW0000452	Enable DC Wasteland
TTW0000453	Disable NV Wasteland
TTW0000454	Enable NV Wasteland
TTW0000455	Fire all followers
TTW0000456	Set all followers to wait
TTW0000457	Pass game time
TTW0000458	Initiate a worldspace check
TTW0000459	Worldspace location set
TTW0000460	Output some common worldspace location data. Use for testing.
TTW0000461	NVSE check
TTW0000462	----Ammo Press Status Screen----
TTW0000463	Material Meltdown
TTW0000464	Purchase Ticket (500 caps)
TTW0000465	Insufficient caps...
TTW0000466	== LOWER SENATE PARK EMERGENCY RESPONSE DETAIL 041B ==
TTW0000467	PLEASE LOGOFF AT END OF SESSION
TTW0000468	Welcome,
TTW0000469	SGM. TERESA MORGAN
TTW0000470	CHIEF MEDICAL OFFICER
TTW0000471	11/02/2077
TTW0000472	11/15/2077
TTW0000473	11/17/2077
TTW0000474	System Status
TTW0000475	Ticket 122
TTW0000476	Ticket 425
TTW0000477	Ticket 432
TTW0000478	Ticket 433
TTW0000479	Ticket 434
TTW0000480	TO: MRosmerta
TTW0000481	TO: JMaguire
TTW0000482	RE: Password Request
TTW0000483	NOTICE: All
TTW0000484	Start Reactor
TTW0000485	Starting Reactor, stand by.
TTW0000486	Error! Override not allowed!
TTW0000487	Reactor Status
TTW0000488	Urgent Notice
TTW0000489	TO: TDalton
TTW0000490	What are you?
TTW0000491	Las Vegas? Your AI really thinks that I can get to Las Vegas from here? Fine, prove it.
TTW0000492	Sorry, I don't have that much money.
TTW0000493	Ok, I buy it but dont try to fool me, robot.
TTW0000494	Your robotic brain seems to be damaged. This is crazy. But thanks for the conversation.
TTW0000495	You were talking about a trip to Las Vegas earlier. Can you still arrange this trip?
TTW0000496	I want to buy a ticket to Las Vegas.
TTW0000497	I happen to have a spare 12.7mm Pistol
TTW0000498	I got this colt SSA, can you use it?
TTW0000499	I've got a 1911 you can use
TTW0000500	Here, take this 9
TTW0000501	I've got this hunting revolver, think you can handle it?
TTW0000502	I've got this custom Hunting Revolver, try not to break your wrist.
TTW0000503	Here, I took this Sequoia from a Ranger's corpse.
TTW0000504	Hmmm... think I could slip bigger weapons past the guards?
TTW0000505	Wow. Bringing up morale must be difficult.
TTW0000506	I can't take you right now, stay here. I'll come back for you.
TTW0000507	Well, whatever works for you.
TTW0000508	<Companion Protocol->Conflict::Dogmeat>
TTW0000509	<Companion Protocol->Conflict::Sergeant RL-3>
TTW0000510	I've got a .22 caliber revolver.
TTW0000511	Crafting...
TTW0000512	Accessing....
TTW0000513	Error! Unable to generate status report
TTW0000514	Error! Reactor not primed.
TTW0000515	[Speech, [%]]
TTW0000516	[SUCCEEDED][%]
TTW0000517	[SUCCEEDED}[%]
TTW0000518	[SUCCESS][%]
TTW0000519	[FAILED][%]
TTW0000520	[FAILURE][%]
TTW0000521	Perform a hard reset.
TTW0000522	You disconnect the power supply briefly to restart the robot. It should behave normally now.
TTW0000523	That's correct, it does. But we can work miracles with our holy water. Free of impurities this Aqua Pura is perfect for carrying Atom's blessing.
TTW0000524	Fine. 50/50 it is. But only of the profits. I still have to recoup my initial investment. You come back once a week and I'll give you your share.
TTW0000525	Fine. 60/40 it is. But only of the profits. I still have to recoup my initial investment. You come back once a week and I'll give you your share.
TTW0000526	Fine. 30/70 it is. But only of the profits. I still have to recoup my initial investment. You come back once a week and I'll give you your share.
TTW0000527	Really? All of it? Not even a single tattered paperback? Oh that's terrible. Just like the Library of Alexandria County. What a loss to the world.
TTW0000528	In light of your candor all I can promise is that Arefu will no longer be a target of the Family. Beyond that I make no such other promises.
TTW0000529	Normally I don't traffic in unsubstantiated rumor but... they say old Pinkerton is hiding out somewhere in Rivet City and that he did it.
TTW0000530	That's just what I would expect to hear from another spy from the Wasteland.You have one hour to leave the Republic of Dave or be executed.
TTW0000531	You drive a hard bargain friend. But seeing how we haven't been able to solve the problem ourselves, fine. You got a deal. But I expect results!
TTW0000532	Well yes, but it was hardly anyplace of importance until I arrived on the scene. That's all ancient history now. No one would ever care about it.
TTW0000533	That's just a technicality, really. This wasn't what you'd call a settlement until I whipped them all into shape. More of a camp, really.
TTW0000534	This is outrageous! Preposterous! Forced out by a bunch of dirty Ghouls and some bleeding heart activist? Where will I live? How will I get there?
TTW0000535	You horrible little zombie-lover! What right do you and your disgusting buddies have to push honest hardworking important people around like that?
TTW0000536	Alright, I suppose someone with medical training has to have at least a bit of compassion. And maybe you can talk some sense into the boy.
TTW0000537	I suppose. Just make it quick.
TTW0000538	Look. I can't let you in. If you did something stupid, it's my ass on the line. I'm not going to risk it. I need this job.
TTW0000539	You think pursuing the super mutants will be the death of Elder Lyons?
TTW0000540	I'm obviously in the wrong place. I'll just be on my way.
TTW0000541	I was impressed. Looks like you folk enjoy a fine selection.
TTW0000542	I didn't see anything alarming down there. People have to eat.
TTW0000543	Yeah... uh... I'm going home now.
TTW0000544	Doctors need to charge patients to cover the cost of treating them. Basic medical care is expensive.
TTW0000545	I understand you and Bittercup came here together.
TTW0000546	What's the history with you and Bittercup?
TTW0000547	If you keep messing with her your little club is going to get on the Overseer's shit list.
TTW0000548	Leave my friend alone!
TTW0000549	They killed her. They're eating her eyes right now. They're coming to eat yours next.
TTW0000550	I'd like to say I'm sorry.
TTW0000551	This fabulous negligee can be all yours for the low, low price of 300 caps!
TTW0000552	I like this and I'd pay 300 caps for it. So that's what I'm going to need to part with it.
TTW0000553	You popped out of nowhere and became a pain in my ass. 400 caps, including a convenience fee.
TTW0000554	I won't take less than 400 caps.
TTW0000555	You want this so bad, how about I stuff your corpse in it and use it in adult-themed puppet shows?
TTW0000556	If I'm risking my ass for breakfast cereal it better be worthwhile. 30 caps a box.
TTW0000557	You can't survive out here without protection. Why don't you come with me?
TTW0000558	Why don't you let me whisk you away from here?
TTW0000559	I heard you were having a half-price sale.
TTW0000560	I'm here right now, saves you having to take it to market. I'm not paying more than 50 caps.
TTW0000561	Slavery's a business, and businesses cost to operate. The information you need is worth 50 caps.
TTW0000562	We should split this up. No point in me killing you over it.
TTW0000563	We split the water or I use it to waterboard you, your call.
TTW0000564	You ever been killed before? Because if you don't back off you're going to be.
TTW0000565	Raiders don't rob, they kill. No one's ever heard of a wasteland mugger.
TTW0000566	Your robot looks like it's stuck in a diagnostic loop.
TTW0000567	It needs a hard reset, but to do that I need to remove some panels.
TTW0000568	The job's labor intensive, I'm going to need compensation.
TTW0000569	The problem was a shorting power supply. I had to disable it before it exploded.
TTW0000570	Your robot had dysfunctional hard disk. It's nothing to be ashamed of and affects 2 out of 5 robots.
TTW0000571	With a laser, you'd be asking with a blast of coherent light. Doesn't have the same ring, though.
TTW0000572	C'mon, twerp. Get your ass outside.
TTW0000573	Give me the fungus, or I'll blow the entrance and trap all your little shits underground.
TTW0000574	I think you kids over-estimate the value of your fungs.
TTW0000575	You've got better material than some comics I've seen.
TTW0000576	That was... um... really funny.
TTW0000577	The day I showed up here is going to best day of your life. For me, it's a Tuesday.
TTW0000578	C'mon, you can trust me.
TTW0000579	Why does Princess hate her nickname?
TTW0000580	Tell me why Princess is angry about her name.
TTW0000581	Where'd the other guard go? Lose her teddy bear?
TTW0000582	It's rough, but sometimes you have to lose people to learn how to not lose more in the future.
TTW0000583	If you don't use your mouth to talk to me I will slap it off of your face.
TTW0000584	Blowing me off is not a good idea.
TTW0000585	An outsider's perspective might help Leo see how much harm is addiction causes his family.
TTW0000586	He's showing obvious signs of jet addiction. I may be able to help him.
TTW0000587	Trust me. I'm a doctor.
TTW0000588	Moriarity's looking for money, not your life. If you give me the money I'll tell him you're gone.
TTW0000589	Just give me the caps and I'll tell him you're gone.
TTW0000590	Something I can do to help you get over whatever problem it is you have with me?
TTW0000591	Can't we just be friends?
TTW0000592	You need to adjust your attitude before I crack open your skull and use it as a toilet.
TTW0000593	You want that drink before or after I rip your tongue out?
TTW0000594	Give me back my money.
TTW0000595	Ever think about the futures you're throwing away? Not just yours, but Andy and Jenny's, too.
TTW0000596	You're hurting your family. Jenny and Andy care about you.
TTW0000597	I was yanking your chain. Dad spoke fondly of you.
TTW0000598	I was kidding! Dad talked about you all time. Now really, where is he?
TTW0000599	Jacking up the price is no way to get repeat customers. 100 caps was fair.
TTW0000600	Let's just take a step back. 100 caps was reasonable, wasn't it?
TTW0000601	I need any help you can give me to locate my father.
TTW0000602	If you gave me the password to Moriarity's terminal, it'll stick it to him and help me find my dad.
TTW0000603	Help me get into that terminal. Finding my Dad means everything to me.
TTW0000604	A physician can make a better contribution to the Good Fight than a wanderer like me can.
TTW0000605	If I find my Dad, maybe he can help with the Good Fight.
TTW0000606	My dad is one of your oldest friends. Do you have any gear to help me find him?
TTW0000607	I saw your husband kissing a lady that wasn't you.
TTW0000608	What's the story with you and Mr. Rockwell?
TTW0000609	Rumor is you and Mr. Rockwell are friends.
TTW0000610	I heard your parents are getting a divorce because of you.
TTW0000611	Your mom and dad hate you and are getting divorced.
TTW0000612	I don't have any medicine on me, but buffout should be able to jolt his system into action.
